id,gate,epic,priority,title,dependencies,acceptance,references,status
DATA-005,G6,DATA,P1,备份/PITR/恢复演练,REL-001,记录真实 RPO/RTO；恢复后可重新索引和重放,docs/15-performance-reliability.md;docs/20-operations-runbook.md,todo
DATA-006,G0,DATA,P1,Repository 集成测试框架,DATA-001;FND-006,真实 PostgreSQL 测试隔离、事务/清理稳定,docs/18-testing-quality.md,done
API-001,G0,API,P0,HTTP 基础中间件与 Problem Details,FND-002,requestId、validation、错误 envelope、body limit、CORS/CSRF 策略,docs/08-api-and-integrations.md,done
API-002,G0,API,P0,OpenAPI serving/lint/schema test,API-001;FND-003,契约可解析；示例和实现 smoke 验证,openapi/openapi.yaml;docs/08-api-and-integrations.md,done
API-003,G0,API,P1,契约生成方向与共享类型,API-002,选定 OpenAPI↔Zod/DTO 单向生成；无手工三份漂移,docs/08-api-and-integrations.md,done
API-004,G1,API,P1,Policy/Actor/RequestContext 框架,AUTH-001,默认拒绝；对象级授权测试 helper 可复用,docs/05-roles-and-permissions.md,done
API-005,G5,API,P0,通用幂等键存储与拦截器,DATA-001;API-001,相同 key 重放一致；payload 冲突 409；TTL/审计,docs/08-api-and-integrations.md,todo
OBS-001,G0,OBS,P0,结构日志、基础指标和 OTel trace,FND-004;API-001,跨 HTTP/job 带 request/trace id；PII redaction 测试,docs/17-observability-analytics.md,done
OBS-002,G6,OBS,P0,SLO Dashboard 与告警,OBS-001;REL-001,服务/依赖/队列/业务 dashboard；告警绑定 runbook,docs/17-observability-analytics.md,todo
AUTH-001,G1,AUTH,P0,会话模型、认证上下文与 Cookie,DATA-001;API-001,token hash、rotation、expiry、logout、secure cookie 测试,docs/14-security-privacy-compliance.md,done
AUTH-002,G1,AUTH,P0,邮箱/手机 OTP 请求与验证,AUTH-001,短效一次性、账号/IP/设备限频、不枚举账号,docs/14-security-privacy-compliance.md,done
AUTH-003,G1,AUTH,P0,用户资料、会话设备与注销全部,AUTH-001,用户可管理资料/locale/设备；状态变更撤销会话,docs/04-user-journeys.md,done
AUTH-004,G1,AUTH,P1,密码与账户恢复（可选）,AUTH-002,强 KDF、恢复冷却、通知、负面测试,docs/14-security-privacy-compliance.md,done
AUTH-005,G1,AUTH,P0,后台 MFA/step-up,ADMIN-001;AUTH-001,Admin 强制 MFA；敏感动作近期认证,docs/14-security-privacy-compliance.md;docs/28-admin-console.md,done
AUTH-006,G6,PRIV,P1,账户删除请求状态机,AUTH-003;PRIV-001,冷静期、阻塞、撤销、编排、完成审计,docs/24-data-retention.md,todo
ORG-001,G1,ORG,P0,组织与成员角色/Policy,AUTH-003;API-004,Owner/Admin/Editor/Billing/Analyst 矩阵通过,docs/05-roles-and-permissions.md,done
ORG-002,G1,ORG,P1,成员邀请、接受、撤销、Owner 转移,ORG-001;NOTIF-001,邀请短效；至少一 Owner；转移 step-up,docs/05-roles-and-permissions.md,todo
TAX-001,G1,TAX,P0,地区/分类读取、种子与别名,DATA-003,中英名称、层级、slug、别名查询可用,docs/23-content-taxonomy.md,done
TAX-002,G1,TAX,P0,动态表单 schema 版本与发布,TAX-001,draft/preview/publish/rollback；旧草稿可验证,schemas/listing-form.schema.json;docs/23-content-taxonomy.md,done
TAX-003,G3,TAX,P1,首页布局配置版本,TAX-002,schema 白名单、preview/publish/rollback、缓存失效,schemas/homepage-layout.schema.json;docs/26-homepage-component-map.md,todo
MEDIA-001,G1,MEDIA,P0,上传 intent 与 quarantine,AUTH-001;DATA-001,短效 presign、配额、MIME/size/hash、私有原件,docs/08-api-and-integrations.md,done
MEDIA-002,G1,MEDIA,P0,媒体扫描/重编码/变体生命周期,MEDIA-001;EVT-001,UPLOADING→SCANNING→READY/REJECTED；去 EXIF,docs/14-security-privacy-compliance.md,done
MEDIA-003,G4,MEDIA,P0,受限验证文件存储,MEDIA-001;TRUST-001,独立桶/key/权限/保留；公开仅结论,docs/14-security-privacy-compliance.md,todo
ADMIN-001,G1,ADMIN,P0,Admin shell、登录、RBAC 导航,AUTH-001;API-004,独立 app/domain；无权限路由/API 403；no-store,docs/28-admin-console.md,done
LIST-001,G2,LIST,P0,Listing 领域状态机与不变式,DATA-001;TAX-002,非法转换/type-detail/价格/过期规则单测,docs/06-domain-and-data-model.md;docs/11-content-workflows-and-moderation.md,done
LIST-002,G2,LIST,P0,Listing repository 与安全投影,LIST-001;DATA-006,public/owner/moderator DTO 不泄漏字段；查询带授权,docs/08-api-and-integrations.md,done
LIST-003,G2,LIST,P0,草稿创建/读取/更新/并发控制,LIST-002;API-004,Owner/org 权限；version/ETag；冲突 409,openapi/openapi.yaml,done
LIST-004,G2,WEB,P0,Rental 动态发布表单与自动保存,LIST-003;MEDIA-002,移动/中英/错误/恢复/上传完成；E2E,docs/10-ui-ux-design-system.md,done
LIST-005,G2,LIST,P0,Rental 提交/发布/公开列表详情/过期,MOD-001;ADMIN-002,完整状态链；公开投影；过期任务；审计,docs/22-acceptance-criteria.md,todo
LIST-006,G2,LIST,P0,Job 垂直切片,LIST-005,薪资/岗位字段、就业政策、完整 E2E,docs/23-content-taxonomy.md,todo
LIST-007,G2,LIST,P0,Transfer/Secondhand/Service 垂直切片,LIST-006,三类 schema/detail/政策/列表详情 E2E,docs/23-content-taxonomy.md,todo
LIST-008,G2,LIST,P1,Listing revision/diff/重大编辑复审,LIST-005,快照不可变；重大字段重审；owner 可见原因,docs/06-domain-and-data-model.md,todo
LIST-009,G2,LIST,P1,用户中心信息管理,LIST-005,draft/pending/published/archived；批量边界,docs/03-information-architecture.md,todo
MOD-001,G2,MOD,P0,提交风险规则与审核案件,LIST-003;EVT-001,规则版本/命中；低风险自动/中高风险队列,docs/11-content-workflows-and-moderation.md,done
MOD-002,G2,MOD,P0,举报、处置和申诉,ADMIN-002;LIST-005,去重/证据/原因/通知/不同审核员申诉,docs/11-content-workflows-and-moderation.md,todo
MOD-003,G2,MOD,P1,重复文本/图片/联系方式检测,MOD-001;MEDIA-002,相似候选、阈值版本、dry-run、误杀指标,docs/11-content-workflows-and-moderation.md,todo
MOD-004,G6,MOD,P1,审核质量与 SLA 仪表盘,MOD-002;OBS-002,队列年龄、决定一致性、申诉恢复、抽检,docs/17-observability-analytics.md,todo
ADMIN-002,G2,ADMIN,P0,Listing 审核工作台,ADMIN-001;MOD-001,队列/快照/diff/规则/动作/审计/键盘效率,docs/28-admin-console.md,done
NOTIF-001,G2,NOTIF,P0,站内通知与模板基线,EVT-001;AUTH-003,Listing 状态通知；模板 locale/version；已读,docs/08-api-and-integrations.md,todo
EVT-001,G2,EVT,P0,Transactional Outbox dispatcher,DATA-001;OBS-001,SKIP LOCKED、重试、幂等、oldest-age metrics,adr/0004-transactional-outbox.md,done
EVT-002,G3,EVT,P1,队列 DLQ/replay/reconciliation 工具,EVT-001;ADMIN-001,受控重放、批次、权限、审计、PII 最小化,docs/20-operations-runbook.md,todo
SEARCH-001,G3,SEARCH,P0,版本化 Listing index/mapping/analyzers,LIST-005,alias、公开字段、中文英文、geo、mapping tests,docs/09-search-and-ranking.md,todo
SEARCH-002,G3,SEARCH,P0,索引 Worker、下架优先和对账,SEARCH-001;EVT-001,version 防乱序；p95 freshness；reconciliation,docs/09-search-and-ranking.md,todo
SEARCH-003,G3,SEARCH,P0,搜索查询、facets、cursor、geo,SEARCH-001;API-002,过滤/排序稳定；公开状态；timeout/limits,openapi/openapi.yaml;docs/09-search-and-ranking.md,todo
SEARCH-004,G3,SEARCH,P1,同义词、建议和热门搜索隐私,SEARCH-003,版本词典；低频敏感 query 不展示；bot 过滤,docs/09-search-and-ranking.md,todo
SEARCH-005,G3,SEARCH,P1,全量重建与 alias 切换,SEARCH-002;EVT-002,新索引→追赶→校验→切换→回滚演练,docs/20-operations-runbook.md,todo
SEARCH-006,G3,SEARCH,P1,相关性评估集和 Dashboard,SEARCH-003;OBS-001,中英 query set；NDCG/MRR/零结果追踪,docs/09-search-and-ranking.md,todo
WEB-001,G3,WEB,P0,公开列表/详情/筛选页面,LIST-005;SEARCH-003,SSR、移动、中英、状态/广告标签、错误空态,docs/03-information-architecture.md,todo
WEB-002,G3,WEB,P0,首页模块化与真实数据 API,WEB-001;TAX-003,组件映射；模块错误隔离；无真实数据隐藏,docs/26-homepage-component-map.md,todo
WEB-003,G3,WEB,P1,全局 Header/Region/Search suggestion,SEARCH-004;AUTH-003,地区/语言/账户响应式；键盘 combobox,docs/10-ui-ux-design-system.md,todo
WEB-004,G2,WEB,P1,账户中心壳与权限缓存策略,AUTH-003,noindex/no-store；导航按能力；错误状态,docs/03-information-architecture.md,todo
SEO-001,G3,SEO,P0,Metadata/canonical/hreflang/robots,WEB-001,模板矩阵正确；搜索/私有 noindex,docs/13-seo-i18n-accessibility.md,todo
SEO-002,G3,SEO,P0,结构化数据与 sitemap 分片,SEO-001;LIST-005,只含真实可索引资源；过期移除；schema 验证,docs/13-seo-i18n-accessibility.md,todo
SEO-003,G3,SEO,P1,i18n message/format/routing 基线,WEB-001,zh-Hans/en 等价；Intl；locale switch canonical,docs/13-seo-i18n-accessibility.md,todo
SEO-004,G3,SEO,P0,可访问性自动/人工基线,WEB-001;FND-007,axe、键盘、focus、表单错误；WCAG AA 缺口表,docs/13-seo-i18n-accessibility.md,todo
PERF-001,G3,PERF,P1,Web/API 缓存与性能预算,WEB-002;OBS-001,cache key/失效安全；CWV/API p95 预算监控,docs/15-performance-reliability.md,todo
FAV-001,G4,FAV,P1,收藏 API/UI,AUTH-003;LIST-005,幂等添加/删除；私有列表；分析事件,openapi/openapi.yaml,todo
MSG-001,G4,MSG,P0,会话/消息 API 与对象授权,AUTH-003;LIST-005;EVT-001,仅参与者可读；复用会话；append message,docs/04-user-journeys.md,todo
MSG-002,G4,MSG,P0,消息 UI 与轮询/增量读取,MSG-001;WEB-004,移动/桌面、unread、分页、发送状态、键盘,docs/10-ui-ux-design-system.md,todo
MSG-003,G4,MSG,P0,屏蔽、限频、垃圾检测、举报,MSG-001;MOD-002,blocked 不可发送；新账号配额；高危提示,docs/11-content-workflows-and-moderation.md,todo
MSG-004,G4,MSG,P2,实时传输评估/实现,MSG-002,只有指标证明需要；认证/重连/降级完整,adr/0001-modular-monolith-first.md,todo
TRUST-001,G4,TRUST,P0,商家和师傅公开档案,ORG-001;TAX-001,公开/owner DTO、城市/分类、验证状态,docs/23-content-taxonomy.md,todo
TRUST-002,G4,TRUST,P0,验证申请、结论与到期,TRUST-001;MEDIA-003;ADMIN-003,原件私有；结论/到期公开；访问审计,docs/14-security-privacy-compliance.md,todo
REV-001,G4,REV,P1,评价资格、创建、回复与审核,MSG-001;TRUST-001;MOD-002,可验证互动；唯一；编辑窗口；不伪造评分,docs/02-product-requirements.md,todo
NOTIF-002,G4,NOTIF,P1,通知偏好、邮件/SMS adapter,NOTIF-001;FND-004,渠道偏好、退订、provider 重试/状态,docs/08-api-and-integrations.md,todo
ADMIN-003,G4,ADMIN,P0,用户/组织/商家/师傅支持工作区,ADMIN-001;TRUST-001,PII 遮罩/reveal 审计；限制/会话撤销,docs/28-admin-console.md,todo
COM-001,G5,COM,P0,SKU/价格版本/订单/库存保留,ORG-001;API-005,价格快照；权限；过期 reservation；状态机,docs/12-monetization-payments-ads.md,todo
COM-002,G5,COM,P0,Stripe Checkout/Payment/Webhook receipt,COM-001;API-005,签名/原始 body/去重/乱序/timeout 测试,docs/08-api-and-integrations.md,todo
COM-003,G5,COM,P0,不可变账本/钱包与对账,COM-002,余额可重算；唯一 source/idempotency；零差异,docs/12-monetization-payments-ads.md,todo
COM-004,G5,COM,P0,推广履约、取消与退款,COM-003;LIST-005,内容合规；履约快照；部分退款；补偿,docs/12-monetization-payments-ads.md,todo
COM-005,G5,COM,P1,订阅/套餐（Feature Flag）,COM-004,entitlement version、续费/取消/失败宽限,docs/12-monetization-payments-ads.md,todo
COM-006,G5,COM,P1,自动充值策略与支付适配端口,COM-003;COM-005,默认关闭且显式同意；阈值/金额/周期上限；幂等订单；签名 webhook；暂停/关闭/对账,adr/0006-free-launch-year-and-deferred-auto-top-up.md;docs/12-monetization-payments-ads.md,todo
ADS-001,G5,ADS,P0,广告位/固定库存/时间冲突,COM-001;TAX-003,不超卖；城市/设备/日期；reservation,docs/12-monetization-payments-ads.md,todo
ADS-002,G5,ADS,P0,Campaign/Creative/审核/排期,ADS-001;MEDIA-002;MOD-001,素材变更重审；落地页安全；自动启停,docs/12-monetization-payments-ads.md,todo
ADS-003,G5,ADS,P1,合格展示/点击/频控/报告,ADS-002;OBS-001,可视/机器人过滤；广告 label；raw/filtered/billable,docs/12-monetization-payments-ads.md,todo
ADMIN-004,G5,ADMIN,P0,Finance/Ad Ops 工作区,COM-003;ADS-002,角色分离；退款/调整审批；库存/活动管理,docs/28-admin-console.md,todo
REL-001,G6,REL,P0,实现 AWS Terraform 模块与环境,FND-005;DATA-001,plan/review；私有网络、RDS/Redis/Search/S3/ECS/WAF,docs/16-infrastructure-devops.md,todo
REL-002,G6,REL,P0,CD、迁移作业、灰度和回滚,REL-001;FND-003,同 artifact 提升；自动停止；feature flags；审计,docs/16-infrastructure-devops.md,todo
REL-003,G6,REL,P1,DR 自动化和演练脚本,REL-001;DATA-005;SEARCH-005,恢复数据库/对象/索引/队列的步骤可重复,docs/20-operations-runbook.md,todo
QA-001,G6,QA,P0,完整 E2E/contract/integration 发布套件,FND-007;LIST-007;MSG-003;COM-004,关键旅程、负面权限、webhook、双语移动通过,docs/18-testing-quality.md,todo
QA-002,G6,QA,P1,数据库升级兼容与回填演练,DATA-004,上一版→候选版、锁/时长/恢复证据,docs/18-testing-quality.md,todo
PERF-002,G6,PERF,P0,负载/耐久/故障注入,PERF-001;REL-001,目标数据规模；SLO；队列积压/依赖故障,docs/15-performance-reliability.md,todo
SEC-001,G6,SEC,P0,正式威胁模型与安全自动化,AUTH-005;MSG-003;COM-002;REL-001,ASVS/API 基线、SAST/DAST/deps/IaC/container,docs/14-security-privacy-compliance.md,todo
SEC-002,G6,SEC,P0,外部渗透测试与修复,SEC-001;QA-001,高危清零；中危有 owner/期限/接受,docs/14-security-privacy-compliance.md,todo
PRIV-001,G6,PRIV,P0,隐私请求编排与系统清理,AUTH-003;EVT-002,access/correct/delete/export/opt-out；reconciliation,docs/24-data-retention.md,todo
PRIV-002,G6,PRIV,P0,保留/归档/legal hold jobs,PRIV-001;REL-001,期限配置、dry-run、hold、审计、备份恢复重放,docs/24-data-retention.md,todo
LAUNCH-001,G6,LAUNCH,P0,数据导入与内容冷启动,LIST-007;TRUST-002;SEARCH-005,来源/同意/映射/去重/批次/对账；无伪造,docs/29-migration-and-launch.md,todo
LAUNCH-002,G6,LAUNCH,P0,Closed/Public Beta 与运营准备,LAUNCH-001;SEC-002;PERF-002;OBS-002,灰度、Runbook、培训、政策、Go/No-Go 指标,docs/29-migration-and-launch.md,todo
LAUNCH-003,G6,LAUNCH,P1,GA 与 72 小时观察,LAUNCH-002,验收全部通过；回滚/沟通；稳定后扩大,docs/22-acceptance-criteria.md,todo
